event_id,customer_id,invoice_id,event_created_at,amount_paise,action,propensity,outcome,days_overdue,customer_ontime_rate,invoice_size_zscore,chase_rounds_so_far,is_repeat_overdue_this_quarter,quarter_sin,quarter_cos,contacts_last_14d,customer_relationship_days
evt_inv_001531_1,cust_b2b_006,inv_001531,2026-05-02T00:12:09.411061+00:00,5653357,OFFER_PAYMENT_PLAN,0.8500000000000001,0,18.13673539553074,0.3103448275862069,0.04559945511379117,1.0,1.0,0.00058938073534281,0.9999998263151593,36.0,195.13691831484007
evt_inv_001868_0,cust_b2b_034,inv_001868,2026-05-02T00:25:04.302407+00:00,3826257,SEND_REMINDER,0.8500000000000001,0,3.925161964458882,0.4898989898989899,-0.6608159606327433,0.0,1.0,0.0012155103464736182,0.999999261267026,36.0,181.9407651970839
evt_inv_003805_0,cust_b2b_029,inv_003805,2026-05-02T00:27:10.428386+00:00,5188979,SEND_REMINDER,0.8500000000000001,0,3.498870690392013,0.22018348623853212,-0.18272517411904496,0.0,1.0,0.0013174229317875427,0.9999991321980328,39.0,196.08397603531535
evt_inv_000085_0,cust_b2b_005,inv_000085,2026-05-02T00:29:40.882112+00:00,6755133,SEND_REMINDER,0.8500000000000001,0,9.361777138098626,0.23580786026200873,-0.3275088742703226,0.0,1.0,0.0014389928574530609,0.9999989646492421,34.0,192.36036977306028
evt_inv_001052_1,cust_b2b_018,inv_001052,2026-05-02T00:35:07.095388+00:00,2147882,OFFER_PAYMENT_PLAN,0.8500000000000001,0,16.57230146041171,0.6461538461538462,0.1381707875484164,1.0,1.0,0.001702580296480652,0.9999985506091167,32.0,185.44970939614612
evt_inv_002863_0,cust_b2b_018,inv_002863,2026-05-02T01:36:26.710017+00:00,1747380,ESCALATE_COLLECTIONS,0.05,0,2.3982134626187293,0.6428571428571429,-0.3537524299417278,0.0,1.0,0.004675776603294848,0.9999890684968291,33.0,185.4922975284237
evt_inv_008419_0,cust_b2b_006,inv_008419,2026-05-02T01:46:49.137568+00:00,5757188,SEND_REMINDER,0.8500000000000001,0,7.214626717611476,0.3090128755364807,0.0923525721466753,0.0,1.0,0.0051787061467348005,0.9999865904114144,37.0,195.2026558901465
evt_inv_004197_0,cust_b2b_030,inv_004197,2026-05-02T01:47:56.567990+00:00,3341697,SEND_REMINDER,0.8500000000000001,0,2.6989960068404715,0.3114754098360656,1.0202858704892734,0.0,1.0,0.005233190727072976,0.9999863067636546,42.0,199.92172934572486
evt_inv_004786_1,cust_b2b_004,inv_004786,2026-05-02T01:49:21.748332+00:00,3839022,OFFER_PAYMENT_PLAN,0.8500000000000001,0,17.69537838097723,0.16182572614107885,0.5592671518937897,1.0,1.0,0.00530201743050543,0.9999859442068006,42.0,196.3852503626672
evt_inv_008393_1,cust_b2b_004,inv_008393,2026-05-02T02:04:55.781868+00:00,2028667,OFFER_PAYMENT_PLAN,0.8500000000000001,0,23.566347792752406,0.16115702479338842,-0.8833815587149915,1.0,1.0,0.006056725635974295,0.9999816578690683,43.0,196.39606093600847
